case;event;time;Owner First Name;Involved ST Function Div;Involved Org line 3
4;0;15.03.2011-11:38:16;27;5;0
4;5;15.03.2011-13:39:01;27;5;0
4;0;23.03.2011-09:13:28;27;5;0
4;0;23.03.2011-09:13:29;27;5;0
4;5;23.03.2011-09:17:21;27;5;0
4;0;24.03.2011-09:12:18;27;5;0
4;1;24.03.2011-09:13:25;27;6;2
4;0;24.03.2011-12:20:10;19;6;2
4;1;24.03.2011-12:20:46;19;5;0
4;0;24.03.2011-16:50:30;27;5;0
4;1;24.03.2011-16:54:55;27;6;2
4;0;04.05.2011-16:36:03;21;6;2
4;1;23.05.2011-12:52:07;21;5;0
4;0;24.05.2011-13:02:14;27;5;0
4;5;24.05.2011-15:16:36;27;5;0
4;0;25.05.2011-14:25:09;27;5;0
4;0;26.05.2011-12:52:07;5;5;0
4;5;26.05.2011-14:20:06;27;5;0
4;0;26.05.2011-14:21:36;27;5;0
4;1;26.05.2011-14:21:59;27;6;2
4;0;20.07.2011-13:55:42;21;6;2
4;0;04.05.2012-07:00:07;23;6;2
4;2;04.05.2012-07:01:21;23;6;2
4;4;11.05.2012-23:21:30;5;6;2
5;0;04.04.2011-14:51:24;28;2;1
5;0;04.04.2011-14:52:15;28;2;1
5;1;04.04.2011-14:58:11;28;2;1
5;0;04.04.2011-15:11:27;29;2;1
5;3;04.04.2011-15:11:37;29;2;1
5;0;04.04.2011-15:18:04;30;2;1
5;5;04.04.2011-15:24:46;30;2;1
5;2;08.04.2011-09:42:53;30;2;1
5;3;11.04.2011-16:53:52;31;2;1
5;0;11.04.2011-16:56:47;31;2;1
5;1;11.04.2011-16:57:06;31;2;1
5;0;12.04.2011-06:21:26;32;2;1
5;3;12.04.2011-06:22:36;32;2;1
5;0;12.04.2011-07:12:13;30;2;1
5;5;12.04.2011-07:12:19;30;2;1
5;0;31.05.2011-08:39:43;29;2;1
5;5;31.05.2011-08:39:48;29;2;1
5;3;28.10.2011-13:22:35;29;2;1
5;0;31.10.2011-07:06:01;33;2;1
5;5;31.10.2011-07:06:05;33;2;1
5;3;09.12.2011-10:24:12;33;2;1
5;0;09.12.2011-14:00:24;34;2;1
5;5;09.12.2011-14:00:29;34;2;1
5;0;12.03.2012-09:03:11;35;2;1
5;5;12.03.2012-09:03:15;35;2;1
5;3;19.03.2012-12:15:59;35;2;1
5;0;19.03.2012-13:21:01;33;2;1
5;3;19.03.2012-13:23:52;33;2;1
5;0;20.03.2012-08:32:27;34;2;1
5;5;20.03.2012-08:32:53;34;2;1
5;2;02.05.2012-14:01:42;34;2;1
5;4;09.05.2012-23:20:47;5;2;1
6;0;13.04.2011-14:04:32;27;5;0
6;0;13.04.2011-14:05:38;27;5;0
6;1;13.04.2011-14:12:39;27;6;2
6;0;19.04.2011-12:23:12;19;6;2
6;1;19.04.2011-12:27:05;19;5;0
6;0;19.04.2011-12:57:53;27;5;0
6;5;19.04.2011-13:01:16;27;5;0
6;0;22.04.2011-09:29:18;27;5;0
6;5;22.04.2011-09:30:27;27;5;0
6;0;27.04.2011-16:38:48;27;5;0
6;1;27.04.2011-16:42:38;27;6;2
6;0;28.04.2011-09:06:05;19;6;2
6;1;28.04.2011-09:07:04;19;5;0
6;0;28.04.2011-10:02:04;27;5;0
6;1;28.04.2011-10:08:04;27;6;2
6;0;11.05.2011-13:31:55;21;6;2
6;1;27.07.2011-12:28:46;22;6;2
6;0;16.08.2011-15:42:06;21;6;2
6;0;04.05.2012-07:01:57;23;6;2
6;2;04.05.2012-07:02:52;23;6;2
6;4;11.05.2012-23:21:30;5;6;2
7;0;03.05.2011-07:42:21;20;5;1
7;0;03.05.2011-07:42:31;20;5;1
7;1;03.05.2011-07:46:47;20;6;2
7;0;03.05.2011-08:44:47;19;6;2
7;1;03.05.2011-08:45:41;19;5;1
7;0;03.05.2011-10:05:52;36;5;1
7;3;03.05.2011-10:05:57;36;5;1
7;0;03.05.2011-11:20:46;20;5;1
7;1;03.05.2011-11:24:45;20;6;2
7;0;11.05.2011-13:39:42;21;6;2
7;6;04.04.2012-13:56:22;21;6;2
7;0;04.05.2012-07:03:26;23;6;2
7;2;04.05.2012-07:06:01;23;6;2
7;4;11.05.2012-23:21:29;5;6;2
8;0;05.05.2011-13:47:54;37;6;3
8;0;05.05.2011-13:48:38;37;6;3
8;8;05.05.2011-14:01:23;37;6;3
8;0;05.05.2011-17:21:53;37;6;3
8;5;09.08.2011-18:34:05;37;6;3
8;0;07.03.2012-14:26:40;38;6;3
8;2;03.05.2012-12:49:21;38;6;3
8;4;03.05.2012-23:21:11;5;6;3
9;0;26.05.2011-13:57:29;27;5;0
9;0;26.05.2011-13:57:50;27;5;0
9;1;26.05.2011-14:07:31;27;6;2
9;0;30.05.2011-10:44:09;19;6;2
9;1;30.05.2011-10:46:01;19;5;0
9;0;30.05.2011-11:47:27;27;5;0
9;5;30.05.2011-11:49:28;27;5;0
9;0;31.05.2011-05:30:30;27;5;0
9;1;31.05.2011-05:31:53;27;6;2
9;0;31.05.2011-08:02:29;19;6;2
9;1;31.05.2011-08:15:32;19;5;0
9;0;31.05.2011-08:16:56;27;5;0
9;1;31.05.2011-08:21:50;27;6;2
9;0;06.07.2011-14:51:06;21;6;2
9;3;06.07.2011-14:51:08;21;6;2
9;0;20.07.2011-12:39:07;21;6;2
9;0;04.05.2012-07:20:17;23;6;2
9;2;04.05.2012-07:21:09;23;6;2
9;4;11.05.2012-23:21:29;5;6;2
10;0;26.05.2011-16:01:53;27;5;0
10;0;26.05.2011-16:02:23;27;5;0
10;1;26.05.2011-16:10:38;27;6;2
10;0;30.05.2011-10:46:17;22;6;2
10;1;30.05.2011-10:48:32;22;5;0
10;0;30.05.2011-10:52:42;27;5;0
10;5;30.05.2011-10:57:50;27;5;0
10;0;31.05.2011-12:01:27;27;5;0
10;1;31.05.2011-12:03:30;27;6;2
10;0;01.06.2011-07:52:10;19;6;2
10;3;01.06.2011-07:52:25;19;6;2
10;0;01.06.2011-09:36:51;22;6;2
10;1;01.06.2011-09:37:06;22;5;0
10;0;01.06.2011-09:38:08;27;5;0
10;5;01.06.2011-09:41:39;27;5;0
10;0;01.06.2011-10:09:35;27;5;0
10;5;01.06.2011-10:11:02;27;5;0
10;0;01.06.2011-10:11:09;27;5;0
10;1;01.06.2011-10:11:26;27;6;2
10;0;01.06.2011-11:07:38;19;6;2
10;3;01.06.2011-11:07:50;19;6;2
10;0;11.07.2011-09:36:40;19;6;2
10;1;11.07.2011-09:58:50;19;5;0
10;0;11.07.2011-10:06:14;39;5;0
10;3;11.07.2011-10:06:18;39;5;0
10;0;11.07.2011-10:14:25;27;5;0
10;5;11.07.2011-10:21:28;27;5;0
10;5;14.07.2011-09:58:50;5;5;0
10;5;15.07.2011-08:22:05;27;5;0
10;5;18.07.2011-08:22:10;5;5;0
10;0;25.07.2011-12:43:58;40;6;4
10;7;25.07.2011-12:44:03;40;6;4
10;0;31.08.2011-09:39:40;27;5;0
10;1;31.08.2011-09:41:40;27;6;2
10;0;31.08.2011-12:39:45;19;6;2
10;1;31.08.2011-12:40:02;19;5;0
10;0;31.08.2011-12:42:35;27;5;0
10;1;31.08.2011-12:51:27;27;6;2
10;0;31.08.2011-14:30:39;19;6;2
10;1;31.08.2011-14:30:52;19;5;0
10;0;31.08.2011-14:35:34;27;5;0
10;5;31.08.2011-14:38:36;27;5;0
10;0;31.08.2011-14:49:06;27;5;0
10;1;31.08.2011-14:50:41;27;6;2
10;0;31.08.2011-15:41:51;19;6;2
10;1;31.08.2011-15:43:59;19;5;0
10;0;31.08.2011-15:46:46;27;5;0
10;1;31.08.2011-15:49:16;27;6;2
10;0;16.09.2011-16:00:17;21;6;2
10;0;04.05.2012-07:24:21;23;6;2
10;2;04.05.2012-07:25:13;23;6;2
10;4;11.05.2012-23:21:29;5;6;2
11;0;01.06.2011-07:55:53;27;5;0
11;0;01.06.2011-07:58:17;27;5;0
11;1;01.06.2011-08:02:37;27;6;2
11;0;06.06.2011-12:51:13;19;6;2
11;1;06.06.2011-13:21:04;19;5;0
11;0;07.06.2011-12:04:41;27;5;0
11;5;07.06.2011-12:08:14;27;5;0
11;5;09.06.2011-13:21:05;5;5;0
11;0;10.06.2011-09:19:23;27;5;0
11;1;10.06.2011-09:21:07;27;6;2
11;0;14.06.2011-10:36:29;19;6;2
11;1;14.06.2011-14:06:36;22;5;0
11;0;15.06.2011-09:14:27;27;5;0
11;5;15.06.2011-09:25:57;27;5;0
11;0;15.06.2011-12:55:06;27;5;0
11;1;15.06.2011-12:57:08;27;6;2
11;0;16.06.2011-09:43:41;19;6;2
11;3;16.06.2011-09:44:53;19;6;2
11;0;22.06.2011-15:38:39;22;6;2
11;1;22.06.2011-15:39:48;22;5;0
11;0;22.06.2011-16:22:56;27;5;0
11;1;22.06.2011-16:26:25;27;6;2
11;0;06.07.2011-14:48:02;21;6;2
11;3;06.07.2011-14:48:05;21;6;2
11;0;20.07.2011-12:34:41;21;6;2
11;2;06.04.2012-09:12:33;21;6;2
11;0;06.04.2012-09:13:09;21;6;2
11;7;06.04.2012-09:13:14;21;6;2
11;0;04.05.2012-07:25:45;23;6;2
11;2;04.05.2012-07:26:18;23;6;2
11;4;11.05.2012-23:21:29;5;6;2
12;0;02.06.2011-07:22:45;27;5;0
12;0;02.06.2011-07:23:13;27;5;0
12;1;02.06.2011-07:36:23;27;6;2
12;0;06.06.2011-11:16:57;19;6;2
12;1;06.06.2011-11:17:50;19;5;0
12;0;06.06.2011-12:06:29;27;5;0
12;1;06.06.2011-12:08:54;27;6;2
12;0;06.07.2011-14:47:36;21;6;2
12;3;06.07.2011-14:47:39;21;6;2
12;0;20.07.2011-12:31:33;21;6;2
12;1;19.04.2012-16:05:54;22;6;2
12;0;04.05.2012-07:26:59;23;6;2
12;2;04.05.2012-07:27:21;23;6;2
12;4;11.05.2012-23:21:29;5;6;2
13;0;02.06.2011-15:17:44;41;5;1
13;0;02.06.2011-15:24:37;41;5;1
13;1;02.06.2011-15:28:48;41;6;2
13;0;06.06.2011-10:54:51;22;6;2
13;1;06.06.2011-10:57:46;22;5;1
13;0;06.06.2011-11:23:05;41;5;1
13;5;06.06.2011-11:25:31;41;5;1
13;1;07.06.2011-14:31:26;41;6;4
13;1;07.06.2011-14:31:27;41;6;4
13;0;07.06.2011-17:40:40;24;6;4
13;7;07.06.2011-17:40:42;24;6;4
13;0;06.07.2011-14:45:09;41;5;1
13;2;06.07.2011-14:45:50;41;5;1
13;1;06.07.2011-16:35:36;42;5;1
13;0;06.07.2011-16:51:44;41;5;1
13;1;06.07.2011-16:53:49;41;5;0
13;0;06.07.2011-16:53:53;41;5;1
13;1;06.07.2011-16:54:21;41;6;2
13;0;07.07.2011-07:54:32;19;6;2
13;3;07.07.2011-08:12:26;19;6;2
13;0;07.07.2011-13:25:52;22;6;2
13;1;07.07.2011-13:25:59;22;5;1
13;0;07.07.2011-13:26:47;43;5;1
13;3;07.07.2011-13:27:57;43;5;1
13;0;07.07.2011-14:49:37;41;5;1
13;5;07.07.2011-14:58:09;41;5;1
13;1;08.07.2011-11:31:55;41;6;2
13;0;08.07.2011-12:16:14;19;6;2
13;1;08.07.2011-12:17:18;19;5;1
13;0;08.07.2011-12:17:21;19;6;2
13;3;08.07.2011-12:17:25;19;6;2
13;0;11.07.2011-09:55:00;22;6;2
13;1;11.07.2011-12:32:37;22;5;1
13;0;11.07.2011-12:41:23;43;5;1
13;3;11.07.2011-12:43:21;43;5;1
13;3;14.07.2011-12:32:37;5;5;1
13;0;18.07.2011-15:01:05;40;5;1
13;1;18.07.2011-15:01:42;40;6;2
13;0;16.08.2011-15:33:46;21;6;2
13;7;06.04.2012-09:18:12;21;6;2
13;0;04.05.2012-07:27:48;23;6;2
13;2;04.05.2012-07:28:43;23;6;2
13;4;11.05.2012-23:21:28;5;6;2
14;0;08.06.2011-12:58:15;24;5;1
14;0;08.06.2011-12:58:20;24;5;1
14;1;08.06.2011-13:02:01;24;6;2
14;0;08.06.2011-15:20:33;24;5;1
14;1;08.06.2011-15:21:14;24;6;2
14;0;08.06.2011-15:55:56;19;6;2
14;1;09.06.2011-08:34:50;19;5;1
14;0;09.06.2011-10:19:26;24;5;1
14;5;09.06.2011-10:21:37;24;5;1
14;1;09.06.2011-16:54:41;24;6;2
14;0;10.06.2011-14:16:38;22;6;2
14;1;10.06.2011-14:29:07;22;5;1
14;0;10.06.2011-14:29:59;24;5;1
14;1;10.06.2011-14:31:48;24;6;2
14;0;06.07.2011-14:45:53;21;6;2
14;3;06.07.2011-14:45:56;21;6;2
14;0;20.07.2011-12:30:13;21;6;2
14;7;06.04.2012-09:09:19;21;6;2
14;0;04.05.2012-07:29:15;23;6;2
14;2;04.05.2012-07:30:26;23;6;2
14;4;11.05.2012-23:21:28;5;6;2
15;0;24.06.2011-12:23:13;27;5;0
15;0;24.06.2011-12:23:15;27;5;0
15;1;24.06.2011-12:25:58;27;6;2
15;0;24.06.2011-12:46:34;19;6;2
15;1;24.06.2011-13:37:42;19;5;0
15;0;24.06.2011-14:08:11;27;5;0
15;1;24.06.2011-14:10:52;27;6;2
15;0;06.07.2011-14:40:51;21;6;2
15;3;06.07.2011-14:40:55;21;6;2
15;0;20.07.2011-12:23:24;21;6;2
15;7;06.04.2012-09:20:07;21;6;2
15;0;04.05.2012-07:31:16;23;6;2
15;2;04.05.2012-07:31:48;23;6;2
15;4;11.05.2012-23:21:28;5;6;2
16;0;24.06.2011-13:58:54;27;5;0
16;0;24.06.2011-13:58:56;27;5;0
16;1;24.06.2011-14:02:31;27;6;2
16;0;24.06.2011-14:42:25;19;6;2
16;1;27.06.2011-08:34:41;19;5;0
16;0;27.06.2011-08:41:23;27;5;0
16;5;27.06.2011-08:45:13;27;5;0
16;0;27.06.2011-08:48:50;27;5;0
16;1;27.06.2011-09:05:48;27;6;2
16;0;27.06.2011-10:24:37;19;6;2
16;1;27.06.2011-10:32:59;19;5;0
16;0;27.06.2011-10:54:24;27;5;0
16;1;27.06.2011-10:59:32;27;6;2
16;0;06.07.2011-14:39:12;21;6;2
16;3;06.07.2011-14:39:30;21;6;2
16;0;20.07.2011-13:53:58;21;6;2
16;7;06.04.2012-09:14:17;21;6;2
16;0;04.05.2012-07:32:16;23;6;2
16;2;04.05.2012-07:32:47;23;6;2
16;4;11.05.2012-23:21:28;5;6;2
17;0;28.06.2011-10:35:39;0;0;0
17;0;28.06.2011-10:35:57;0;0;0
17;1;28.06.2011-10:50:20;0;1;0
17;0;28.06.2011-10:58:24;44;1;0
17;1;28.06.2011-10:59:36;44;0;0
17;0;28.06.2011-16:45:50;0;0;0
17;1;28.06.2011-16:46:58;0;1;0
17;0;29.06.2011-08:47:40;45;1;0
17;1;29.06.2011-08:48:21;45;0;0
17;0;29.06.2011-08:51:19;0;0;0
17;0;02.07.2011-08:48:21;5;0;0
17;1;20.09.2011-15:27:24;46;1;0
17;0;18.04.2012-14:25:03;45;1;0
17;1;18.04.2012-14:26:29;45;1;0
17;0;02.05.2012-13:34:18;45;1;0
17;1;02.05.2012-13:35:45;45;0;0
17;0;04.05.2012-10:46:38;47;0;0
17;2;04.05.2012-10:46:58;47;0;0
17;4;11.05.2012-23:21:28;5;0;0
18;0;11.07.2011-07:20:50;24;5;1
18;0;11.07.2011-07:20:55;24;5;1
18;1;11.07.2011-07:28:43;24;6;4
18;0;11.07.2011-07:28:45;24;6;4
18;7;11.07.2011-07:28:47;24;6;4
18;1;11.07.2011-11:34:18;24;6;2
18;0;11.07.2011-13:18:29;19;6;2
18;1;11.07.2011-13:28:02;19;5;1
18;0;11.07.2011-13:35:23;24;5;1
18;1;11.07.2011-13:37:42;24;6;2
18;0;20.07.2011-12:47:48;21;6;2
18;0;04.05.2012-07:33:21;23;6;2
18;2;04.05.2012-07:34:16;23;6;2
18;4;11.05.2012-23:21:27;5;6;2
19;0;14.07.2011-17:20:42;20;5;1
19;0;14.07.2011-17:20:49;20;5;1
19;1;14.07.2011-17:22:51;20;6;2
19;0;15.07.2011-07:43:36;19;6;2
19;1;15.07.2011-08:02:31;19;5;1
19;0;15.07.2011-08:52:29;48;5;1
19;1;15.07.2011-08:56:59;48;6;2
19;0;20.07.2011-13:50:38;21;6;2
19;6;14.03.2012-15:29:41;21;6;2
19;0;04.05.2012-07:34:46;23;6;2
19;2;04.05.2012-07:35:37;23;6;2
19;4;11.05.2012-23:21:27;5;6;2
20;0;25.07.2011-13:45:15;27;5;0
20;0;25.07.2011-13:45:29;27;5;0
20;1;25.07.2011-13:50:11;27;6;2
20;0;25.07.2011-14:28:03;22;6;2
20;1;25.07.2011-14:34:15;22;5;0
20;0;25.07.2011-14:50:14;27;5;0
20;5;25.07.2011-14:52:35;27;5;0
20;0;25.07.2011-14:57:23;27;5;0
20;1;25.07.2011-14:58:34;27;6;2
20;0;25.07.2011-15:55:44;22;6;2
20;1;25.07.2011-16:02:17;22;5;0
20;1;25.07.2011-16:02:18;22;5;0
20;0;25.07.2011-16:03:41;27;5;0
20;1;25.07.2011-16:05:51;27;6;2
20;0;26.07.2011-11:03:30;22;6;2
20;1;26.07.2011-13:54:14;22;5;0
20;0;26.07.2011-13:55:06;27;5;0
20;1;26.07.2011-13:59:46;27;6;2
20;0;16.08.2011-15:37:40;21;6;2
20;7;06.04.2012-09:19:00;21;6;2
20;0;04.05.2012-07:36:08;23;6;2
20;2;04.05.2012-07:36:32;23;6;2
20;4;11.05.2012-23:21:27;5;6;2
21;0;28.07.2011-09:12:37;49;5;0
21;0;28.07.2011-09:16:47;49;5;0
21;1;28.07.2011-09:21:15;49;2;1
21;0;08.05.2012-07:52:10;29;2;1
21;2;08.05.2012-07:52:48;29;2;1
21;4;15.05.2012-23:22:58;5;2;1
22;0;03.08.2011-12:17:22;27;5;0
22;0;03.08.2011-12:17:49;27;5;0
22;1;03.08.2011-12:24:10;27;6;2
22;0;04.08.2011-11:02:25;22;6;2
22;1;04.08.2011-12:55:28;22;5;0
22;1;04.08.2011-12:55:29;22;5;0
22;0;04.08.2011-15:05:00;50;5;0
22;3;04.08.2011-15:05:04;50;5;0
22;0;05.08.2011-05:36:03;27;5;0
22;1;05.08.2011-05:38:54;27;6;2
22;0;16.08.2011-15:43:52;21;6;2
22;6;14.03.2012-15:45:08;21;6;2
22;0;04.05.2012-07:38:40;23;6;2
22;2;04.05.2012-07:39:19;23;6;2
22;4;11.05.2012-23:21:27;5;6;2
23;0;03.08.2011-11:29:56;25;5;1
23;0;03.08.2011-11:31:12;25;5;1
23;1;03.08.2011-11:41:04;25;6;2
23;0;04.08.2011-10:55:05;22;6;2
23;1;04.08.2011-12:56:55;22;6;2
23;0;04.08.2011-15:04:01;22;6;2
23;1;04.08.2011-15:14:33;22;5;1
23;0;04.08.2011-15:20:52;25;5;1
23;1;04.08.2011-15:26:53;25;6;2
23;0;16.08.2011-15:43:23;21;6;2
23;6;14.03.2012-15:44:27;21;6;2
23;0;04.05.2012-07:37:15;23;6;2
23;2;04.05.2012-07:38:06;23;6;2
23;4;11.05.2012-23:21:27;5;6;2
24;0;16.08.2011-09:20:48;51;5;1
24;0;16.08.2011-09:21:07;51;5;1
24;5;16.08.2011-09:21:44;51;5;1
24;1;16.08.2011-12:40:27;51;6;2
24;1;16.08.2011-12:40:28;51;6;2
24;0;16.08.2011-13:21:08;19;6;2
24;1;16.08.2011-13:26:29;19;5;1
24;0;16.08.2011-13:32:30;51;5;1
24;5;16.08.2011-13:35:13;51;5;1
24;1;16.08.2011-13:50:48;51;6;2
24;0;16.08.2011-14:35:43;19;6;2
24;1;16.08.2011-14:36:11;19;5;1
24;1;16.08.2011-14:36:12;19;5;1
24;0;16.08.2011-14:39:52;51;5;1
24;7;16.08.2011-14:39:58;51;5;1
24;5;17.08.2011-06:17:53;51;5;1
24;1;18.08.2011-12:12:11;51;6;5
24;0;18.08.2011-12:12:15;51;5;1
24;1;18.08.2011-12:13:28;51;6;4
24;0;19.08.2011-10:41:09;40;6;4
24;7;19.08.2011-10:41:15;40;6;4
24;1;05.09.2011-10:28:51;40;6;2
24;0;26.09.2011-15:22:04;21;6;2
24;6;14.03.2012-15:46:45;21;6;2
24;0;04.05.2012-07:39:49;23;6;2
24;2;04.05.2012-07:41:26;23;6;2
24;4;11.05.2012-23:21:26;5;6;2
25;0;19.08.2011-10:09:56;48;5;1
25;0;19.08.2011-10:11:11;48;5;1
25;1;19.08.2011-10:12:40;48;6;2
25;0;19.08.2011-11:23:13;19;6;2
25;1;19.08.2011-11:24:05;19;5;1
25;1;19.08.2011-11:24:06;19;5;1
25;0;19.08.2011-11:58:45;36;5;1
25;3;19.08.2011-11:58:52;36;5;1
25;0;19.08.2011-14:04:49;48;5;1
25;5;19.08.2011-14:05:46;48;5;1
25;1;19.08.2011-14:26:44;48;6;2
25;0;19.08.2011-15:16:41;19;6;2
25;1;19.08.2011-15:17:50;19;5;1
25;0;19.08.2011-16:17:21;48;5;1
25;1;19.08.2011-16:18:24;48;6;2
25;0;26.09.2011-15:20:30;21;6;2
25;6;14.03.2012-15:51:16;21;6;2
25;0;04.05.2012-07:42:22;23;6;2
25;2;04.05.2012-07:43:01;23;6;2
25;4;07.05.2012-23:22:09;5;6;2
26;1;22.08.2011-13:54:38;28;6;5
26;1;22.08.2011-13:57:40;28;7;0
26;0;22.08.2011-14:52:00;52;7;0
26;1;26.08.2011-14:52:15;52;2;1
26;0;26.08.2011-14:59:01;2;2;1
26;5;26.08.2011-15:12:50;2;2;1
26;0;26.08.2011-15:40:31;53;2;1
26;1;26.08.2011-15:43:11;53;2;1
26;0;29.08.2011-06:12:35;54;2;1
26;1;29.08.2011-06:13:48;54;2;1
26;0;29.08.2011-12:03:12;53;2;1
