case;event;time;event org:resource;case Document Type;case GR-Based Inv. Verif.
9;1;01.08.2018 12:33:00;0;0;1
9;7;01.08.2018 12:33:00;1;0;1
9;8;01.08.2018 23:59:00;2;0;1
9;12;01.09.2018 10:04:00;2;0;1
9;9;01.09.2018 10:04:00;1;0;1
9;10;01.09.2018 12:59:00;9;0;1
9;11;23.02.2018 12:14:00;4;0;1
9;5;17.01.2019 11:59:00;7;0;1
9;17;17.01.2019 11:59:00;1;0;1
10;0;01.08.2018 13:12:00;0;0;0
10;2;01.08.2018 14:12:00;0;0;0
10;7;01.08.2018 14:12:00;1;0;0
10;1;01.08.2018 14:12:00;0;0;0
10;6;01.08.2018 14:12:00;0;0;0
10;5;01.08.2018 14:12:00;0;0;0
10;3;01.08.2018 14:12:00;0;0;0
10;4;01.08.2018 14:12:00;0;0;0
10;8;01.08.2018 23:59:00;2;0;0
10;10;17.01.2018 09:11:00;10;0;0
10;9;21.02.2018 13:53:00;1;0;0
10;18;21.02.2018 13:55:00;8;0;0
10;11;03.08.2018 13:22:00;6;0;0
11;0;01.08.2018 15:36:00;0;0;1
11;4;01.08.2018 16:36:00;0;0;1
11;3;01.08.2018 16:36:00;0;0;1
11;7;01.08.2018 16:36:00;1;0;1
11;1;01.08.2018 16:36:00;0;0;1
11;6;01.08.2018 16:36:00;0;0;1
11;5;01.08.2018 16:36:00;0;0;1
11;2;01.08.2018 16:36:00;0;0;1
11;8;01.10.2018 23:59:00;2;0;1
11;12;15.01.2018 12:53:00;2;0;1
11;9;15.01.2018 12:53:00;1;0;1
11;10;17.01.2018 15:49:00;0;0;1
11;11;22.02.2018 16:18:00;4;0;1
12;8;01.02.2018 23:59:00;2;0;1
12;0;01.09.2018 13:14:00;0;0;1
12;1;01.09.2018 14:14:00;0;0;1
12;6;01.09.2018 14:14:00;0;0;1
12;5;01.09.2018 14:14:00;0;0;1
12;3;01.09.2018 14:14:00;0;0;1
12;4;01.09.2018 14:14:00;0;0;1
12;7;01.09.2018 14:14:00;1;0;1
12;2;01.09.2018 14:14:00;0;0;1
12;9;03.08.2018 08:27:00;1;0;1
12;12;03.08.2018 08:27:00;2;0;1
12;10;03.09.2018 16:47:00;3;0;1
12;11;15.03.2018 14:13:00;6;0;1
13;0;01.09.2018 15:30:00;0;0;1
13;7;01.09.2018 16:30:00;1;0;1
13;2;01.09.2018 16:30:00;0;0;1
13;3;01.09.2018 16:30:00;0;0;1
13;4;01.09.2018 16:30:00;0;0;1
13;5;01.09.2018 16:30:00;0;0;1
13;1;01.09.2018 16:30:00;0;0;1
13;6;01.09.2018 16:30:00;0;0;1
13;8;01.09.2018 23:59:00;2;0;1
13;9;01.10.2018 16:11:00;1;0;1
13;12;01.10.2018 16:11:00;2;0;1
13;10;16.01.2018 10:49:00;11;0;1
13;11;29.03.2018 15:11:00;4;0;1
13;0;09.05.2018 11:43:00;12;0;1
13;4;09.05.2018 13:44:00;12;0;1
13;2;09.05.2018 13:44:00;12;0;1
13;3;09.05.2018 13:44:00;12;0;1
13;5;09.05.2018 16:34:00;0;0;1
13;6;09.05.2018 16:34:00;0;0;1
13;19;09.05.2018 16:34:00;0;0;1
13;20;09.05.2018 16:34:00;1;0;1
13;8;09.07.2018 23:59:00;2;0;1
13;12;28.09.2018 10:28:00;2;0;1
13;9;28.09.2018 10:28:00;1;0;1
13;10;28.09.2018 13:06:00;0;0;1
13;0;18.10.2018 14:07:00;13;0;1
13;4;18.10.2018 16:08:00;13;0;1
13;3;18.10.2018 16:08:00;13;0;1
13;2;18.10.2018 16:08:00;13;0;1
13;6;22.10.2018 06:05:00;0;0;1
13;19;22.10.2018 06:05:00;0;0;1
13;20;22.10.2018 06:05:00;1;0;1
13;5;22.10.2018 06:05:00;0;0;1
13;11;29.11.2018 16:16:00;4;0;1
13;9;18.12.2018 17:38:00;1;0;1
13;12;18.12.2018 17:38:00;2;0;1
13;5;17.01.2019 11:59:00;7;0;1
13;13;17.01.2019 11:59:00;7;0;1
14;0;01.09.2018 16:54:00;0;0;1
14;6;01.09.2018 17:54:00;0;0;1
14;3;01.09.2018 17:54:00;0;0;1
14;2;01.09.2018 17:54:00;0;0;1
14;5;01.09.2018 17:54:00;0;0;1
14;1;01.09.2018 17:54:00;0;0;1
14;7;01.09.2018 17:54:00;1;0;1
14;4;01.09.2018 17:54:00;0;0;1
14;8;01.10.2018 23:59:00;2;0;1
14;9;01.11.2018 11:10:00;1;0;1
14;12;01.11.2018 11:10:00;2;0;1
14;10;04.11.2018 16:45:00;3;0;1
14;11;04.12.2018 14:08:00;4;0;1
14;13;17.01.2019 11:59:00;7;0;1
14;5;17.01.2019 11:59:00;7;0;1
15;0;01.10.2018 15:38:00;0;0;0
15;3;01.10.2018 16:38:00;0;0;0
15;1;01.10.2018 16:38:00;0;0;0
15;2;01.10.2018 16:38:00;0;0;0
15;5;01.10.2018 16:38:00;0;0;0
15;4;01.10.2018 16:38:00;0;0;0
15;7;01.10.2018 16:38:00;1;0;0
15;6;01.10.2018 16:38:00;0;0;0
15;8;29.01.2018 23:59:00;2;0;0
15;9;26.02.2018 09:41:00;1;0;0
15;10;03.05.2018 16:12:00;0;0;0
15;11;29.03.2018 15:06:00;4;0;0
16;0;01.10.2018 15:38:00;0;0;1
16;6;01.10.2018 16:38:00;0;0;1
16;2;01.10.2018 16:38:00;0;0;1
16;1;01.10.2018 16:38:00;0;0;1
16;4;01.10.2018 16:38:00;0;0;1
16;3;01.10.2018 16:38:00;0;0;1
16;7;01.10.2018 16:40:00;1;0;1
16;5;01.10.2018 16:40:00;0;0;1
16;9;16.01.2018 14:27:00;1;0;1
16;12;16.01.2018 14:27:00;2;0;1
16;8;22.01.2018 23:59:00;2;0;1
16;10;24.01.2018 17:15:00;3;0;1
16;11;15.02.2018 14:51:00;4;0;1
17;0;01.11.2018 15:41:00;0;0;1
17;5;01.11.2018 16:41:00;0;0;1
17;4;01.11.2018 16:41:00;0;0;1
17;7;01.11.2018 16:41:00;1;0;1
17;1;01.11.2018 16:41:00;0;0;1
17;6;01.11.2018 16:41:00;0;0;1
17;2;01.11.2018 16:41:00;0;0;1
17;3;01.11.2018 16:41:00;0;0;1
17;8;02.06.2018 23:59:00;2;0;1
17;12;16.02.2018 16:47:00;2;0;1
17;9;16.02.2018 16:47:00;1;0;1
17;10;19.02.2018 14:20:00;11;0;1
17;11;03.01.2018 14:06:00;6;0;1
17;8;29.03.2018 23:59:00;2;0;1
17;9;04.10.2018 16:08:00;1;0;1
17;12;04.10.2018 16:08:00;2;0;1
17;10;04.10.2018 16:22:00;11;0;1
17;11;19.04.2018 14:47:00;4;0;1
17;8;25.06.2018 23:59:00;2;0;1
17;12;24.07.2018 12:29:00;2;0;1
17;9;24.07.2018 12:29:00;1;0;1
17;10;25.07.2018 15:00:00;14;0;1
17;11;26.07.2018 18:09:00;4;0;1
17;8;13.09.2018 23:59:00;2;0;1
17;12;14.09.2018 14:44:00;2;0;1
17;9;14.09.2018 14:44:00;1;0;1
17;10;17.09.2018 11:25:00;14;0;1
17;11;10.04.2018 16:50:00;4;0;1
17;8;14.11.2018 23:59:00;2;0;1
17;9;28.11.2018 13:23:00;1;0;1
17;12;28.11.2018 13:23:00;2;0;1
17;10;29.11.2018 13:41:00;15;0;1
17;11;12.07.2018 09:08:00;4;0;1
17;13;17.01.2019 11:59:00;7;0;1
17;5;17.01.2019 11:59:00;7;0;1
18;0;01.12.2018 09:51:00;0;0;1
18;5;01.12.2018 10:51:00;0;0;1
18;6;01.12.2018 10:51:00;0;0;1
18;1;01.12.2018 10:51:00;0;0;1
18;7;01.12.2018 10:51:00;1;0;1
18;3;01.12.2018 10:51:00;0;0;1
18;2;01.12.2018 10:51:00;0;0;1
18;4;01.12.2018 10:51:00;0;0;1
18;9;25.01.2018 01:16:00;1;0;1
18;12;25.01.2018 01:16:00;2;0;1
18;8;30.01.2018 23:59:00;2;0;1
18;8;31.01.2018 23:59:00;2;0;1
18;15;31.01.2018 23:59:00;2;0;1
18;12;02.05.2018 11:46:00;2;0;1
18;9;02.05.2018 11:46:00;1;0;1
18;10;02.06.2018 16:46:00;8;0;1
18;8;28.02.2018 23:59:00;2;0;1
18;10;13.03.2018 17:03:00;15;0;1
18;16;23.03.2018 07:23:00;11;0;1
18;11;23.03.2018 07:24:00;11;0;1
18;10;23.03.2018 07:26:00;11;0;1
18;9;26.03.2018 09:32:00;1;0;1
18;12;26.03.2018 09:32:00;2;0;1
18;12;26.03.2018 09:34:00;2;0;1
18;9;26.03.2018 09:34:00;1;0;1
18;12;26.03.2018 09:36:00;2;0;1
18;9;26.03.2018 09:36:00;1;0;1
18;9;26.03.2018 09:39:00;1;0;1
18;12;26.03.2018 09:39:00;2;0;1
18;10;26.03.2018 10:01:00;11;0;1
18;10;26.03.2018 16:05:00;11;0;1
18;10;26.03.2018 16:06:00;11;0;1
18;10;26.03.2018 17:28:00;3;0;1
18;8;30.03.2018 23:59:00;2;0;1
18;8;31.03.2018 23:59:00;2;0;1
18;11;04.05.2018 15:51:00;4;0;1
18;0;04.09.2018 13:36:00;16;0;1
18;4;04.09.2018 15:44:00;16;0;1
18;2;04.09.2018 15:44:00;16;0;1
18;3;04.09.2018 15:44:00;16;0;1
18;5;04.09.2018 17:51:00;0;0;1
18;20;04.09.2018 17:51:00;1;0;1
18;19;04.09.2018 17:51:00;0;0;1
18;6;04.09.2018 17:51:00;0;0;1
18;12;29.04.2018 18:26:00;2;0;1
18;9;29.04.2018 18:26:00;1;0;1
18;12;29.04.2018 18:28:00;2;0;1
18;9;29.04.2018 18:28:00;1;0;1
18;9;29.04.2018 18:30:00;1;0;1
18;12;29.04.2018 18:30:00;2;0;1
18;10;30.04.2018 15:19:00;3;0;1
18;8;30.04.2018 23:59:00;2;0;1
18;11;05.09.2018 14:12:00;4;0;1
18;10;05.10.2018 12:52:00;8;0;1
18;10;05.10.2018 12:53:00;8;0;1
18;11;17.05.2018 14:51:00;4;0;1
18;12;29.05.2018 09:40:00;2;0;1
18;9;29.05.2018 09:40:00;1;0;1
18;10;30.05.2018 10:38:00;3;0;1
18;8;30.05.2018 23:59:00;2;0;1
18;11;06.07.2018 13:13:00;4;0;1
18;8;30.06.2018 23:59:00;2;0;1
18;12;25.07.2018 12:51:00;2;0;1
18;9;25.07.2018 12:51:00;1;0;1
18;9;25.07.2018 14:16:00;1;0;1
18;12;25.07.2018 14:16:00;2;0;1
18;9;25.07.2018 14:23:00;1;0;1
18;12;25.07.2018 14:23:00;2;0;1
18;10;25.07.2018 17:56:00;14;0;1
18;10;26.07.2018 08:02:00;11;0;1
18;10;26.07.2018 08:23:00;11;0;1
18;11;26.07.2018 18:09:00;4;0;1
18;18;27.07.2018 13:16:00;17;0;1
18;8;30.07.2018 23:59:00;2;0;1
18;8;31.07.2018 23:59:00;2;0;1
18;11;08.02.2018 16:07:00;4;0;1
18;11;08.09.2018 14:30:00;4;0;1
18;8;22.08.2018 23:59:00;2;0;1
18;12;30.08.2018 14:35:00;2;0;1
18;9;30.08.2018 14:35:00;1;0;1
18;10;31.08.2018 11:30:00;14;0;1
18;8;31.08.2018 23:59:00;2;0;1
18;11;09.06.2018 14:08:00;4;0;1
18;9;28.09.2018 10:43:00;1;0;1
18;12;28.09.2018 10:43:00;2;0;1
18;12;28.09.2018 10:47:00;2;0;1
18;9;28.09.2018 10:47:00;1;0;1
18;9;28.09.2018 10:51:00;1;0;1
18;12;28.09.2018 10:51:00;2;0;1
18;9;28.09.2018 10:53:00;1;0;1
18;12;28.09.2018 10:53:00;2;0;1
18;10;28.09.2018 12:48:00;0;0;1
18;10;28.09.2018 12:59:00;0;0;1
18;8;28.09.2018 23:59:00;2;0;1
18;10;10.01.2018 15:13:00;15;0;1
18;10;10.02.2018 12:45:00;15;0;1
18;11;10.04.2018 16:50:00;4;0;1
18;12;14.11.2018 16:37:00;2;0;1
18;9;14.11.2018 16:37:00;1;0;1
18;10;14.11.2018 18:03:00;14;0;1
18;11;15.11.2018 15:35:00;4;0;1
18;5;17.01.2019 11:59:00;7;0;1
18;13;17.01.2019 11:59:00;7;0;1
19;8;01.07.2018 23:59:00;2;0;1
19;0;01.12.2018 09:51:00;0;0;1
19;4;01.12.2018 10:51:00;0;0;1
19;3;01.12.2018 10:51:00;0;0;1
19;5;01.12.2018 10:51:00;0;0;1
19;2;01.12.2018 10:51:00;0;0;1
19;6;01.12.2018 10:51:00;0;0;1
19;1;01.12.2018 10:52:00;0;0;1
19;7;01.12.2018 10:52:00;1;0;1
19;8;14.01.2018 23:59:00;2;0;1
19;9;15.01.2018 14:48:00;1;0;1
19;12;15.01.2018 14:48:00;2;0;1
19;10;16.01.2018 10:44:00;11;0;1
19;8;21.01.2018 23:59:00;2;0;1
19;12;25.01.2018 01:20:00;2;0;1
19;9;25.01.2018 01:20:00;1;0;1
19;15;28.01.2018 23:59:00;2;0;1
19;8;28.01.2018 23:59:00;2;0;1
19;12;29.01.2018 09:39:00;2;0;1
19;9;29.01.2018 09:39:00;1;0;1
19;12;02.02.2018 17:06:00;2;0;1
19;9;02.02.2018 17:06:00;1;0;1
19;8;02.04.2018 23:59:00;2;0;1
19;10;02.05.2018 10:16:00;18;0;1
19;10;02.09.2018 17:32:00;0;0;1
19;10;02.09.2018 17:33:00;0;0;1
19;8;02.11.2018 23:59:00;2;0;1
19;12;16.02.2018 16:58:00;2;0;1
19;9;16.02.2018 16:58:00;1;0;1
19;8;18.02.2018 23:59:00;2;0;1
19;10;19.02.2018 14:17:00;11;0;1
19;9;22.02.2018 12:50:00;1;0;1
19;12;22.02.2018 12:50:00;2;0;1
19;8;25.02.2018 23:59:00;2;0;1
19;12;28.02.2018 14:39:00;2;0;1
19;9;28.02.2018 14:39:00;1;0;1
19;8;03.04.2018 23:59:00;2;0;1
19;11;03.08.2018 13:22:00;6;0;1
19;8;03.11.2018 23:59:00;2;0;1
19;10;15.03.2018 15:59:00;9;0;1
19;10;15.03.2018 16:18:00;9;0;1
19;8;18.03.2018 23:59:00;2;0;1
19;8;25.03.2018 23:59:00;2;0;1
19;9;27.03.2018 11:13:00;1;0;1
19;12;27.03.2018 11:13:00;2;0;1
19;9;27.03.2018 11:16:00;1;0;1
19;12;27.03.2018 11:16:00;2;0;1
19;10;27.03.2018 14:53:00;11;0;1
19;10;27.03.2018 14:55:00;11;0;1
19;8;04.01.2018 23:59:00;2;0;1
19;11;04.05.2018 15:51:00;4;0;1
19;8;04.08.2018 23:59:00;2;0;1
19;8;15.04.2018 23:59:00;2;0;1
19;8;22.04.2018 23:59:00;2;0;1
19;0;24.04.2018 10:27:00;12;0;1
19;4;24.04.2018 12:27:00;12;0;1
19;2;24.04.2018 12:27:00;12;0;1
19;3;24.04.2018 12:27:00;12;0;1
19;20;24.04.2018 16:39:00;1;0;1
19;6;24.04.2018 16:39:00;0;0;1
19;19;24.04.2018 16:39:00;0;0;1
19;5;24.04.2018 16:39:00;0;0;1
19;12;25.04.2018 14:35:00;2;0;1
19;9;25.04.2018 14:35:00;1;0;1
19;12;25.04.2018 14:39:00;2;0;1
19;9;25.04.2018 14:39:00;1;0;1
19;12;25.04.2018 14:50:00;2;0;1
19;9;25.04.2018 14:50:00;1;0;1
19;9;25.04.2018 14:59:00;1;0;1
19;12;25.04.2018 14:59:00;2;0;1
19;12;25.04.2018 15:03:00;2;0;1
19;9;25.04.2018 15:03:00;1;0;1
19;9;25.04.2018 15:05:00;1;0;1
19;12;25.04.2018 15:05:00;2;0;1
19;10;25.04.2018 15:23:00;11;0;1
19;10;25.04.2018 15:24:00;11;0;1
19;10;25.04.2018 15:39:00;11;0;1
19;12;25.04.2018 16:37:00;2;0;1
19;9;25.04.2018 16:37:00;1;0;1
19;11;26.04.2018 11:15:00;4;0;1
19;8;29.04.2018 23:59:00;2;0;1
19;8;05.06.2018 23:59:00;2;0;1
19;11;05.09.2018 14:11:00;4;0;1
19;8;13.05.2018 23:59:00;2;0;1
19;8;20.05.2018 23:59:00;2;0;1
19;10;21.05.2018 10:44:00;3;0;1
19;10;21.05.2018 15:24:00;15;0;1
19;10;21.05.2018 16:10:00;14;0;1
19;10;21.05.2018 16:49:00;14;0;1
19;9;27.05.2018 20:56:00;1;0;1
19;12;27.05.2018 20:56:00;2;0;1
19;12;27.05.2018 21:02:00;2;0;1
19;9;27.05.2018 21:02:00;1;0;1
19;9;27.05.2018 21:09:00;1;0;1
19;12;27.05.2018 21:09:00;2;0;1
19;9;27.05.2018 21:12:00;1;0;1
19;12;27.05.2018 21:12:00;2;0;1
19;8;27.05.2018 23:59:00;2;0;1
19;10;28.05.2018 14:29:00;3;0;1
19;8;06.03.2018 23:59:00;2;0;1
19;11;06.07.2018 13:12:00;4;0;1
19;8;06.10.2018 23:59:00;2;0;1
19;8;17.06.2018 23:59:00;2;0;1
19;10;20.06.2018 17:57:00;15;0;1
19;8;24.06.2018 23:59:00;2;0;1
19;10;25.06.2018 16:36:00;15;0;1
19;10;25.06.2018 16:55:00;15;0;1
19;9;26.06.2018 22:59:00;1;0;1
19;12;26.06.2018 22:59:00;2;0;1
19;9;26.06.2018 23:04:00;1;0;1
19;12;26.06.2018 23:04:00;2;0;1
19;9;26.06.2018 23:06:00;1;0;1
19;12;26.06.2018 23:06:00;2;0;1
19;12;26.06.2018 23:09:00;2;0;1
19;9;26.06.2018 23:09:00;1;0;1
19;10;27.06.2018 17:15:00;15;0;1
19;9;28.06.2018 13:21:00;1;0;1
19;12;28.06.2018 13:21:00;2;0;1
19;8;07.01.2018 23:59:00;2;0;1
19;11;07.05.2018 14:12:00;4;0;1
19;8;07.08.2018 23:59:00;2;0;1
19;8;15.07.2018 23:59:00;2;0;1
19;10;18.07.2018 13:13:00;3;0;1
19;10;18.07.2018 16:24:00;14;0;1
19;8;22.07.2018 23:59:00;2;0;1
19;10;23.07.2018 15:20:00;14;0;1
19;10;23.07.2018 16:02:00;14;0;1
19;0;24.07.2018 12:33:00;19;0;1
19;2;24.07.2018 14:33:00;19;0;1
19;4;24.07.2018 14:33:00;19;0;1
19;3;24.07.2018 14:33:00;19;0;1
19;20;24.07.2018 15:38:00;1;0;1
19;19;24.07.2018 15:38:00;0;0;1
19;5;24.07.2018 15:38:00;0;0;1
19;6;24.07.2018 15:38:00;0;0;1
19;12;24.07.2018 15:55:00;2;0;1
19;9;24.07.2018 15:55:00;1;0;1
19;12;24.07.2018 15:56:00;2;0;1
19;9;24.07.2018 15:56:00;1;0;1
19;9;24.07.2018 15:59:00;1;0;1
19;12;24.07.2018 15:59:00;2;0;1
19;9;27.07.2018 13:46:00;1;0;1
19;12;27.07.2018 13:46:00;2;0;1
19;8;29.07.2018 23:59:00;2;0;1
19;8;08.05.2018 23:59:00;2;0;1
19;11;08.09.2018 14:30:00;4;0;1
19;8;08.12.2018 23:59:00;2;0;1
19;10;14.08.2018 16:20:00;20;0;1
19;10;15.08.2018 14:11:00;14;0;1
19;10;15.08.2018 14:33:00;14;0;1
19;8;19.08.2018 23:59:00;2;0;1
19;10;20.08.2018 14:58:00;20;0;1
19;8;26.08.2018 23:59:00;2;0;1
19;12;30.08.2018 16:47:00;2;0;1
19;9;30.08.2018 16:47:00;1;0;1
19;9;30.08.2018 16:49:00;1;0;1
19;12;30.08.2018 16:49:00;2;0;1
19;9;30.08.2018 16:52:00;1;0;1
19;12;30.08.2018 16:52:00;2;0;1
19;12;30.08.2018 16:57:00;2;0;1
19;9;30.08.2018 16:57:00;1;0;1
19;12;30.08.2018 17:00:00;2;0;1
19;9;30.08.2018 17:00:00;1;0;1
19;10;30.08.2018 19:12:00;0;0;1
19;10;31.08.2018 12:46:00;20;0;1
19;8;09.02.2018 23:59:00;2;0;1
19;11;09.06.2018 14:08:00;4;0;1
19;10;09.07.2018 08:00:00;15;0;1
19;10;09.07.2018 17:49:00;14;0;1
19;8;09.09.2018 23:59:00;2;0;1
19;10;09.10.2018 12:15:00;11;0;1
19;8;16.09.2018 23:59:00;2;0;1
19;8;23.09.2018 23:59:00;2;0;1
19;9;28.09.2018 07:57:00;1;0;1
19;12;28.09.2018 07:57:00;2;0;1
19;12;28.09.2018 08:00:00;2;0;1
19;9;28.09.2018 08:00:00;1;0;1
19;12;28.09.2018 08:03:00;2;0;1
19;9;28.09.2018 08:03:00;1;0;1
19;9;28.09.2018 08:07:00;1;0;1
19;12;28.09.2018 08:07:00;2;0;1
19;10;28.09.2018 13:06:00;0;0;1
19;10;28.09.2018 13:08:00;0;0;1
19;10;28.09.2018 13:13:00;0;0;1
19;8;30.09.2018 23:59:00;2;0;1
19;10;10.03.2018 11:13:00;0;0;1
19;11;10.04.2018 16:50:00;4;0;1
19;8;10.07.2018 23:59:00;2;0;1
19;8;14.10.2018 23:59:00;2;0;1
19;8;21.10.2018 23:59:00;2;0;1
19;8;28.10.2018 23:59:00;2;0;1
19;12;30.10.2018 16:31:00;2;0;1
19;9;30.10.2018 16:31:00;1;0;1
19;12;30.10.2018 16:35:00;2;0;1
19;9;30.10.2018 16:35:00;1;0;1
19;9;30.10.2018 16:39:00;1;0;1
19;12;30.10.2018 16:39:00;2;0;1
19;10;31.10.2018 13:36:00;14;0;1
19;10;31.10.2018 17:25:00;14;0;1
19;8;11.04.2018 23:59:00;2;0;1
19;16;11.05.2018 12:48:00;5;0;1
19;10;11.05.2018 12:51:00;5;0;1
19;11;11.05.2018 12:52:00;5;0;1
19;11;11.08.2018 16:45:00;4;0;1
19;8;11.11.2018 23:59:00;2;0;1
19;10;14.11.2018 17:21:00;14;0;1
19;8;18.11.2018 23:59:00;2;0;1
19;8;25.11.2018 23:59:00;2;0;1
19;8;12.02.2018 23:59:00;2;0;1
19;11;12.07.2018 09:08:00;4;0;1
19;8;12.09.2018 23:59:00;2;0;1
19;0;12.10.2018 08:03:00;21;0;1
19;2;12.10.2018 09:04:00;21;0;1
19;4;12.10.2018 09:04:00;21;0;1
19;3;12.10.2018 09:04:00;21;0;1
19;5;12.10.2018 09:29:00;0;0;1
19;19;12.10.2018 09:29:00;0;0;1
19;6;12.10.2018 09:29:00;0;0;1
