case;event;time;case Document Type;case GR-Based Inv. Verif.;event org:resource
13;1;10.01.2018-16:11:00;0;1;0
13;2;16.01.2018-10:49:00;0;1;9
13;3;29.03.2018-15:11:00;0;1;2
13;10;05.09.2018-11:43:00;0;1;10
13;11;05.09.2018-13:44:00;0;1;10
13;12;05.09.2018-13:44:00;0;1;10
13;13;05.09.2018-13:44:00;0;1;10
13;14;05.09.2018-16:34:00;0;1;0
13;1;28.09.2018-10:28:00;0;1;0
13;10;18.10.2018-14:07:00;0;1;11
13;11;18.10.2018-16:08:00;0;1;11
13;13;18.10.2018-16:08:00;0;1;11
13;12;18.10.2018-16:08:00;0;1;11
13;14;22.10.2018-06:05:00;0;1;0
13;3;29.11.2018-16:16:00;0;1;2
13;1;18.12.2018-17:38:00;0;1;0
13;5;17.01.2019-11:59:00;0;1;5
13;4;17.01.2019-11:59:00;0;1;5
14;0;09.01.2018-17:54:00;0;1;0
14;1;11.01.2018-11:10:00;0;1;0
14;2;11.04.2018-16:45:00;0;1;1
14;3;12.04.2018-14:08:00;0;1;2
14;4;17.01.2019-11:59:00;0;1;5
14;5;17.01.2019-11:59:00;0;1;5
15;0;10.01.2018-16:38:00;0;0;0
15;1;26.02.2018-09:41:00;0;0;0
15;3;29.03.2018-15:06:00;0;0;2
16;0;10.01.2018-16:40:00;0;1;0
16;1;16.01.2018-14:27:00;0;1;0
16;2;24.01.2018-17:15:00;0;1;1
16;3;15.02.2018-14:51:00;0;1;2
17;0;11.01.2018-16:41:00;0;1;0
17;1;16.02.2018-16:47:00;0;1;0
17;2;19.02.2018-14:20:00;0;1;9
17;3;01.03.2018-14:06:00;0;1;4
17;1;10.04.2018-16:08:00;0;1;0
17;2;10.04.2018-16:22:00;0;1;9
17;3;19.04.2018-14:47:00;0;1;2
17;1;24.07.2018-12:29:00;0;1;0
17;2;25.07.2018-15:00:00;0;1;12
17;3;26.07.2018-18:09:00;0;1;2
17;1;14.09.2018-14:44:00;0;1;0
17;2;17.09.2018-11:25:00;0;1;12
17;3;04.10.2018-16:50:00;0;1;2
17;1;28.11.2018-13:23:00;0;1;0
17;2;29.11.2018-13:41:00;0;1;13
17;3;07.12.2018-09:08:00;0;1;2
17;4;17.01.2019-11:59:00;0;1;5
17;5;17.01.2019-11:59:00;0;1;5
18;0;12.01.2018-10:51:00;0;1;0
18;1;25.01.2018-01:16:00;0;1;0
18;1;05.02.2018-11:46:00;0;1;0
18;2;06.02.2018-16:46:00;0;1;6
18;2;13.03.2018-17:03:00;0;1;13
18;7;23.03.2018-07:23:00;0;1;9
18;3;23.03.2018-07:24:00;0;1;9
18;2;23.03.2018-07:26:00;0;1;9
18;1;26.03.2018-09:32:00;0;1;0
18;1;26.03.2018-09:34:00;0;1;0
18;1;26.03.2018-09:36:00;0;1;0
18;1;26.03.2018-09:39:00;0;1;0
18;2;26.03.2018-10:01:00;0;1;9
18;2;26.03.2018-16:05:00;0;1;9
18;2;26.03.2018-16:06:00;0;1;9
18;2;26.03.2018-17:28:00;0;1;1
18;3;05.04.2018-15:51:00;0;1;2
18;10;09.04.2018-13:36:00;0;1;14
18;11;09.04.2018-15:44:00;0;1;14
18;12;09.04.2018-15:44:00;0;1;14
18;13;09.04.2018-15:44:00;0;1;14
18;14;09.04.2018-17:51:00;0;1;0
18;1;29.04.2018-18:26:00;0;1;0
18;1;29.04.2018-18:28:00;0;1;0
18;1;29.04.2018-18:30:00;0;1;0
18;2;30.04.2018-15:19:00;0;1;1
18;3;09.05.2018-14:12:00;0;1;2
18;2;10.05.2018-12:52:00;0;1;6
18;2;10.05.2018-12:53:00;0;1;6
18;3;17.05.2018-14:51:00;0;1;2
18;1;29.05.2018-09:40:00;0;1;0
18;2;30.05.2018-10:38:00;0;1;1
18;3;07.06.2018-13:13:00;0;1;2
18;1;25.07.2018-12:51:00;0;1;0
18;1;25.07.2018-14:16:00;0;1;0
18;1;25.07.2018-14:23:00;0;1;0
18;2;25.07.2018-17:56:00;0;1;12
18;2;26.07.2018-08:02:00;0;1;9
18;2;26.07.2018-08:23:00;0;1;9
18;3;26.07.2018-18:09:00;0;1;2
18;9;27.07.2018-13:16:00;0;1;15
18;3;02.08.2018-16:07:00;0;1;2
18;3;09.08.2018-14:30:00;0;1;2
18;1;30.08.2018-14:35:00;0;1;0
18;2;31.08.2018-11:30:00;0;1;12
18;3;06.09.2018-14:08:00;0;1;2
18;1;28.09.2018-10:43:00;0;1;0
18;1;28.09.2018-10:47:00;0;1;0
18;1;28.09.2018-10:51:00;0;1;0
18;1;28.09.2018-10:53:00;0;1;0
18;2;01.10.2018-15:13:00;0;1;13
18;2;02.10.2018-12:45:00;0;1;13
18;3;04.10.2018-16:50:00;0;1;2
18;1;14.11.2018-16:37:00;0;1;0
18;2;14.11.2018-18:03:00;0;1;12
18;3;15.11.2018-15:35:00;0;1;2
18;5;17.01.2019-11:59:00;0;1;5
18;4;17.01.2019-11:59:00;0;1;5
19;0;12.01.2018-10:52:00;0;1;0
19;1;15.01.2018-14:48:00;0;1;0
19;2;16.01.2018-10:44:00;0;1;9
19;1;25.01.2018-01:20:00;0;1;0
19;1;29.01.2018-09:39:00;0;1;0
19;1;02.02.2018-17:06:00;0;1;0
19;2;05.02.2018-10:16:00;0;1;16
19;1;16.02.2018-16:58:00;0;1;0
19;2;19.02.2018-14:17:00;0;1;9
19;1;22.02.2018-12:50:00;0;1;0
19;1;28.02.2018-14:39:00;0;1;0
19;3;08.03.2018-13:22:00;0;1;4
19;2;15.03.2018-15:59:00;0;1;7
19;2;15.03.2018-16:18:00;0;1;7
19;1;27.03.2018-11:13:00;0;1;0
19;1;27.03.2018-11:16:00;0;1;0
19;2;27.03.2018-14:53:00;0;1;9
19;2;27.03.2018-14:55:00;0;1;9
19;3;05.04.2018-15:51:00;0;1;2
19;10;24.04.2018-10:27:00;0;1;10
19;11;24.04.2018-12:27:00;0;1;10
19;12;24.04.2018-12:27:00;0;1;10
19;13;24.04.2018-12:27:00;0;1;10
19;14;24.04.2018-16:39:00;0;1;0
19;1;25.04.2018-14:35:00;0;1;0
19;1;25.04.2018-14:39:00;0;1;0
19;1;25.04.2018-14:50:00;0;1;0
19;1;25.04.2018-14:59:00;0;1;0
19;1;25.04.2018-15:03:00;0;1;0
19;1;25.04.2018-15:05:00;0;1;0
19;2;25.04.2018-15:23:00;0;1;9
19;2;25.04.2018-15:24:00;0;1;9
19;2;25.04.2018-15:39:00;0;1;9
19;1;25.04.2018-16:37:00;0;1;0
19;3;26.04.2018-11:15:00;0;1;2
19;3;09.05.2018-14:11:00;0;1;2
19;2;21.05.2018-10:44:00;0;1;1
19;2;21.05.2018-15:24:00;0;1;13
19;2;21.05.2018-16:10:00;0;1;12
19;2;21.05.2018-16:49:00;0;1;12
19;1;27.05.2018-20:56:00;0;1;0
19;1;27.05.2018-21:02:00;0;1;0
19;1;27.05.2018-21:09:00;0;1;0
19;1;27.05.2018-21:12:00;0;1;0
19;2;28.05.2018-14:29:00;0;1;1
19;3;07.06.2018-13:12:00;0;1;2
19;2;20.06.2018-17:57:00;0;1;13
19;2;25.06.2018-16:36:00;0;1;13
19;2;25.06.2018-16:55:00;0;1;13
19;1;26.06.2018-22:59:00;0;1;0
19;1;26.06.2018-23:04:00;0;1;0
19;1;26.06.2018-23:06:00;0;1;0
19;1;26.06.2018-23:09:00;0;1;0
19;2;27.06.2018-17:15:00;0;1;13
19;1;28.06.2018-13:21:00;0;1;0
19;3;05.07.2018-14:12:00;0;1;2
19;2;18.07.2018-13:13:00;0;1;1
19;2;18.07.2018-16:24:00;0;1;12
19;2;23.07.2018-15:20:00;0;1;12
19;2;23.07.2018-16:02:00;0;1;12
19;10;24.07.2018-12:33:00;0;1;17
19;12;24.07.2018-14:33:00;0;1;17
19;11;24.07.2018-14:33:00;0;1;17
19;13;24.07.2018-14:33:00;0;1;17
19;14;24.07.2018-15:38:00;0;1;0
19;1;24.07.2018-15:55:00;0;1;0
19;1;24.07.2018-15:56:00;0;1;0
19;1;24.07.2018-15:59:00;0;1;0
19;1;27.07.2018-13:46:00;0;1;0
19;3;09.08.2018-14:30:00;0;1;2
19;2;14.08.2018-16:20:00;0;1;18
19;2;15.08.2018-14:11:00;0;1;12
19;2;15.08.2018-14:33:00;0;1;12
19;2;20.08.2018-14:58:00;0;1;18
19;1;30.08.2018-16:47:00;0;1;0
19;1;30.08.2018-16:49:00;0;1;0
19;1;30.08.2018-16:52:00;0;1;0
19;1;30.08.2018-16:57:00;0;1;0
19;1;30.08.2018-17:00:00;0;1;0
19;2;31.08.2018-12:46:00;0;1;18
19;3;06.09.2018-14:08:00;0;1;2
19;2;07.09.2018-08:00:00;0;1;13
19;2;07.09.2018-17:49:00;0;1;12
19;2;10.09.2018-12:15:00;0;1;9
19;1;28.09.2018-07:57:00;0;1;0
19;1;28.09.2018-08:00:00;0;1;0
19;1;28.09.2018-08:03:00;0;1;0
19;1;28.09.2018-08:07:00;0;1;0
19;3;04.10.2018-16:50:00;0;1;2
19;1;30.10.2018-16:31:00;0;1;0
19;1;30.10.2018-16:35:00;0;1;0
19;1;30.10.2018-16:39:00;0;1;0
19;2;31.10.2018-13:36:00;0;1;12
19;2;31.10.2018-17:25:00;0;1;12
19;7;05.11.2018-12:48:00;0;1;3
19;2;05.11.2018-12:51:00;0;1;3
19;3;05.11.2018-12:52:00;0;1;3
19;3;08.11.2018-16:45:00;0;1;2
19;2;14.11.2018-17:21:00;0;1;12
19;3;07.12.2018-09:08:00;0;1;2
19;10;10.12.2018-08:03:00;0;1;19
19;12;10.12.2018-09:04:00;0;1;19
19;11;10.12.2018-09:04:00;0;1;19
19;13;10.12.2018-09:04:00;0;1;19
19;14;10.12.2018-09:29:00;0;1;0
19;2;11.12.2018-14:21:00;0;1;18
19;1;17.12.2018-12:04:00;0;1;0
19;1;17.12.2018-12:07:00;0;1;0
19;1;17.12.2018-12:10:00;0;1;0
19;1;17.12.2018-12:13:00;0;1;0
19;1;17.12.2018-12:19:00;0;1;0
19;1;17.12.2018-12:22:00;0;1;0
19;1;17.12.2018-12:24:00;0;1;0
19;1;17.12.2018-12:27:00;0;1;0
19;2;18.12.2018-08:16:00;0;1;1
19;2;18.12.2018-08:17:00;0;1;1
19;1;19.12.2018-11:03:00;0;1;0
19;9;24.12.2018-08:18:00;0;1;15
19;2;28.12.2018-08:50:00;0;1;18
19;2;28.12.2018-13:23:00;0;1;18
19;2;28.12.2018-15:35:00;0;1;18
19;3;03.01.2019-16:12:00;0;1;4
19;3;10.01.2019-15:45:00;0;1;2
20;0;12.01.2018-10:52:00;0;1;0
20;1;27.02.2018-22:02:00;0;1;0
20;1;27.02.2018-22:06:00;0;1;0
20;1;27.02.2018-22:08:00;0;1;0
20;1;27.02.2018-22:12:00;0;1;0
20;2;26.03.2018-18:04:00;0;1;7
20;2;03.04.2018-16:30:00;0;1;12
20;2;03.04.2018-16:31:00;0;1;12
20;2;04.04.2018-11:06:00;0;1;13
20;3;26.04.2018-11:15:00;0;1;2
20;1;30.04.2018-17:30:00;0;1;0
20;1;30.04.2018-17:32:00;0;1;0
20;1;30.04.2018-17:34:00;0;1;0
20;2;14.05.2018-14:25:00;0;1;13
20;3;24.05.2018-13:36:00;0;1;2
20;10;28.05.2018-07:00:00;0;1;10
20;12;28.05.2018-09:01:00;0;1;10
20;11;28.05.2018-09:01:00;0;1;10
20;13;28.05.2018-09:01:00;0;1;10
20;14;28.05.2018-18:05:00;0;1;0
20;1;29.05.2018-10:07:00;0;1;0
20;2;06.06.2018-17:23:00;0;1;1
20;2;06.06.2018-17:25:00;0;1;1
20;2;07.06.2018-14:53:00;0;1;13
20;3;28.06.2018-14:05:00;0;1;2
20;1;28.06.2018-14:09:00;0;1;0
20;1;28.06.2018-14:12:00;0;1;0
20;1;28.06.2018-14:14:00;0;1;0
20;1;28.06.2018-14:17:00;0;1;0
20;2;27.07.2018-07:02:00;0;1;1
20;2;27.07.2018-07:03:00;0;1;1
20;2;27.07.2018-07:04:00;0;1;1
20;10;27.07.2018-13:10:00;0;1;17
20;1;27.07.2018-14:30:00;0;1;0
20;1;27.07.2018-14:34:00;0;1;0
20;11;27.07.2018-15:11:00;0;1;17
20;13;27.07.2018-15:11:00;0;1;17
20;12;27.07.2018-15:11:00;0;1;17
20;2;27.07.2018-15:39:00;0;1;12
20;14;30.07.2018-21:36:00;0;1;0
20;3;02.08.2018-16:07:00;0;1;2
20;3;30.08.2018-15:40:00;0;1;2
20;1;28.09.2018-11:03:00;0;1;0
20;2;02.10.2018-13:21:00;0;1;13
20;3;04.10.2018-16:50:00;0;1;2
20;7;25.10.2018-12:45:00;0;1;20
20;1;26.11.2018-02:08:00;0;1;0
20;1;26.11.2018-02:12:00;0;1;0
20;1;26.11.2018-02:30:00;0;1;0
20;1;26.11.2018-02:32:00;0;1;0
20;1;26.11.2018-02:35:00;0;1;0
20;1;26.11.2018-02:38:00;0;1;0
20;1;26.11.2018-02:52:00;0;1;0
20;1;26.11.2018-02:55:00;0;1;0
20;1;26.11.2018-02:58:00;0;1;0
20;2;06.12.2018-13:54:00;0;1;12
20;2;21.12.2018-11:42:00;0;1;12
20;2;21.12.2018-11:52:00;0;1;12
20;2;21.12.2018-14:07:00;0;1;13
20;2;24.12.2018-11:54:00;0;1;13
20;2;24.12.2018-11:56:00;0;1;13
20;2;27.12.2018-14:51:00;0;1;12
20;2;03.01.2019-05:12:00;0;1;1
20;2;03.01.2019-06:21:00;0;1;1
20;3;03.01.2019-16:12:00;0;1;4
20;5;17.01.2019-11:59:00;0;1;5
20;4;17.01.2019-11:59:00;0;1;5
21;0;12.01.2018-10:52:00;0;1;0
21;1;31.01.2018-11:07:00;0;1;0
21;1;05.02.2018-11:40:00;0;1;0
21;2;06.02.2018-16:49:00;0;1;6
21;1;20.03.2018-12:47:00;0;1;0
21;1;20.03.2018-12:51:00;0;1;0
21;1;20.03.2018-12:56:00;0;1;0
21;2;20.03.2018-16:08:00;0;1;9
21;2;20.03.2018-16:09:00;0;1;9
21;2;20.03.2018-16:11:00;0;1;9
21;1;27.03.2018-12:06:00;0;1;0
21;3;29.03.2018-15:10:00;0;1;2
21;1;10.04.2018-15:09:00;0;1;0
21;1;10.04.2018-15:21:00;0;1;0
21;1;10.04.2018-15:35:00;0;1;0
21;7;10.04.2018-16:14:00;0;1;9
21;3;10.04.2018-16:15:00;0;1;9
21;2;10.04.2018-16:16:00;0;1;9
21;3;26.04.2018-11:15:00;0;1;2
21;3;24.05.2018-13:36:00;0;1;2
21;1;27.05.2018-21:17:00;0;1;0
21;1;27.05.2018-21:37:00;0;1;0
21;2;28.05.2018-10:49:00;0;1;13
21;1;29.05.2018-11:34:00;0;1;0
21;1;29.05.2018-11:38:00;0;1;0
21;2;30.05.2018-10:51:00;0;1;12
21;2;30.05.2018-10:58:00;0;1;12
21;2;31.05.2018-09:30:00;0;1;9
21;3;31.05.2018-12:33:00;0;1;2
21;10;25.06.2018-06:22:00;0;1;17
21;12;25.06.2018-08:23:00;0;1;17
21;11;25.06.2018-08:23:00;0;1;17
21;13;25.06.2018-08:23:00;0;1;17
21;1;26.06.2018-23:13:00;0;1;0
21;14;27.06.2018-06:05:00;0;1;0
21;2;28.06.2018-11:58:00;0;1;13
21;1;28.06.2018-12:59:00;0;1;0
21;1;28.06.2018-13:06:00;0;1;0
21;3;28.06.2018-14:05:00;0;1;2
21;2;29.06.2018-17:03:00;0;1;13
21;3;05.07.2018-14:13:00;0;1;2
21;1;24.07.2018-16:13:00;0;1;0
21;1;24.07.2018-16:18:00;0;1;0
21;1;24.07.2018-16:21:00;0;1;0
21;2;24.07.2018-17:50:00;0;1;12
21;2;25.07.2018-09:11:00;0;1;13
21;2;26.07.2018-08:30:00;0;1;9
21;3;26.07.2018-18:09:00;0;1;2
21;1;27.07.2018-13:23:00;0;1;0
21;1;27.07.2018-13:37:00;0;1;0
21;1;27.07.2018-13:41:00;0;1;0
21;1;31.07.2018-12:15:00;0;1;0
21;3;30.08.2018-15:40:00;0;1;2
21;1;28.09.2018-08:13:00;0;1;0
21;1;28.09.2018-08:17:00;0;1;0
21;1;28.09.2018-08:21:00;0;1;0
21;1;28.09.2018-08:25:00;0;1;0
21;1;28.09.2018-08:29:00;0;1;0
21;1;28.09.2018-08:34:00;0;1;0
21;3;28.09.2018-10:29:00;0;1;2
21;2;02.10.2018-10:50:00;0;1;13
21;2;02.10.2018-17:49:00;0;1;12
21;2;03.10.2018-11:17:00;0;1;9
21;3;04.10.2018-16:50:00;0;1;2
21;1;11.10.2018-12:44:00;0;1;0
21;3;11.10.2018-13:47:00;0;1;2
21;3;18.10.2018-17:21:00;0;1;2
21;3;26.10.2018-11:03:00;0;1;4
21;1;30.10.2018-15:48:00;0;1;0
21;1;30.10.2018-15:52:00;0;1;0
21;1;30.10.2018-16:06:00;0;1;0
21;1;30.10.2018-16:17:00;0;1;0
21;2;31.10.2018-11:21:00;0;1;1
21;2;31.10.2018-16:52:00;0;1;13
21;1;14.11.2018-16:07:00;0;1;0
21;1;14.11.2018-16:20:00;0;1;0
21;1;14.11.2018-17:01:00;0;1;0
21;2;14.11.2018-18:07:00;0;1;12
21;2;15.11.2018-09:47:00;0;1;13
21;2;15.11.2018-10:51:00;0;1;20
21;3;15.11.2018-15:35:00;0;1;2
21;2;22.11.2018-15:51:00;0;1;12
21;2;22.11.2018-17:25:00;0;1;13
21;1;28.11.2018-22:12:00;0;1;0
21;1;29.11.2018-11:09:00;0;1;0
21;3;29.11.2018-16:16:00;0;1;2
21;1;30.11.2018-13:10:00;0;1;0
21;2;03.12.2018-14:50:00;0;1;12
21;1;03.12.2018-16:22:00;0;1;0
21;1;03.12.2018-16:25:00;0;1;0
21;2;04.12.2018-10:33:00;0;1;20
21;2;04.12.2018-17:59:00;0;1;18
21;2;05.12.2018-14:24:00;0;1;18
21;10;11.12.2018-08:08:00;0;1;21
21;12;11.12.2018-09:09:00;0;1;21
21;13;11.12.2018-09:09:00;0;1;21
21;11;11.12.2018-09:09:00;0;1;21
21;2;04.01.2019-07:54:00;0;1;20
22;0;12.01.2018-10:52:00;0;1;0
22;1;30.04.2018-17:39:00;0;1;0
22;1;30.04.2018-17:42:00;0;1;0
22;1;30.04.2018-17:44:00;0;1;0
22;1;30.04.2018-17:46:00;0;1;0
22;1;28.06.2018-13:54:00;0;1;0
22;1;28.06.2018-14:03:00;0;1;0
22;2;29.06.2018-16:56:00;0;1;3
22;3;05.07.2018-14:13:00;0;1;2
22;10;27.07.2018-13:18:00;0;1;10
22;12;27.07.2018-15:18:00;0;1;10
22;13;27.07.2018-15:18:00;0;1;10
22;11;27.07.2018-15:18:00;0;1;10
22;2;27.07.2018-15:38:00;0;1;12
22;2;27.07.2018-16:25:00;0;1;12
22;14;30.07.2018-21:36:00;0;1;0
22;1;31.07.2018-00:53:00;0;1;0
22;1;31.07.2018-00:57:00;0;1;0
22;1;31.07.2018-01:08:00;0;1;0
22;1;31.07.2018-01:11:00;0;1;0
22;2;31.07.2018-09:57:00;0;1;9
22;3;02.08.2018-16:07:00;0;1;2
22;3;30.08.2018-15:40:00;0;1;2
22;1;28.09.2018-11:30:00;0;1;0
22;2;03.10.2018-10:32:00;0;1;1
22;3;26.10.2018-11:04:00;0;1;4
22;1;26.11.2018-02:15:00;0;1;0
22;1;26.11.2018-02:17:00;0;1;0
22;1;26.11.2018-02:19:00;0;1;0
22;1;26.11.2018-02:21:00;0;1;0
22;1;26.11.2018-02:25:00;0;1;0
22;6;26.11.2018-02:27:00;0;1;0
22;1;26.11.2018-02:41:00;0;1;0
22;1;26.11.2018-02:43:00;0;1;0
22;1;26.11.2018-02:46:00;0;1;0
22;1;26.11.2018-02:48:00;0;1;0
22;1;26.11.2018-03:02:00;0;1;0
22;2;06.12.2018-10:16:00;0;1;18
22;10;10.12.2018-07:20:00;0;1;21
22;11;10.12.2018-08:26:00;0;1;21
22;13;10.12.2018-08:26:00;0;1;21
22;12;10.12.2018-08:26:00;0;1;21
22;2;21.12.2018-10:02:00;0;1;15
22;2;21.12.2018-11:39:00;0;1;12
22;2;21.12.2018-11:45:00;0;1;12
22;2;21.12.2018-11:50:00;0;1;12
22;2;21.12.2018-13:55:00;0;1;13
22;2;24.12.2018-05:03:00;0;1;12
22;2;24.12.2018-12:00:00;0;1;13
22;2;24.12.2018-12:04:00;0;1;13
22;3;03.01.2019-16:12:00;0;1;4
22;4;17.01.2019-11:59:00;0;1;5
22;5;17.01.2019-11:59:00;0;1;5
23;0;12.01.2018-10:52:00;0;1;0
23;1;25.01.2018-01:12:00;0;1;0
23;3;22.02.2018-16:18:00;0;1;2
23;1;26.03.2018-09:50:00;0;1;0
23;1;27.03.2018-11:23:00;0;1;0
23;3;29.03.2018-15:11:00;0;1;2
23;10;26.04.2018-07:52:00;0;1;14
23;11;26.04.2018-09:52:00;0;1;14
23;13;26.04.2018-09:52:00;0;1;14
23;12;26.04.2018-09:52:00;0;1;14
23;14;26.04.2018-10:34:00;0;1;0
23;3;26.04.2018-11:16:00;0;1;2
23;1;26.04.2018-12:31:00;0;1;0
23;2;14.05.2018-15:27:00;0;1;13
23;3;24.05.2018-13:36:00;0;1;2
23;1;26.06.2018-22:50:00;0;1;0
23;1;26.06.2018-23:37:00;0;1;0
23;2;29.06.2018-16:59:00;0;1;3
23;2;02.07.2018-16:58:00;0;1;1
23;3;05.07.2018-14:13:00;0;1;2
23;10;16.07.2018-09:17:00;0;1;11
23;12;16.07.2018-11:18:00;0;1;11
23;11;16.07.2018-11:18:00;0;1;11
23;13;16.07.2018-11:18:00;0;1;11
23;14;16.07.2018-12:03:00;0;1;0
23;1;24.07.2018-14:13:00;0;1;0
23;3;26.07.2018-18:09:00;0;1;2
23;2;30.07.2018-10:03:00;0;1;18
23;1;30.08.2018-13:51:00;0;1;0
23;3;30.08.2018-15:40:00;0;1;2
23;2;05.09.2018-09:02:00;0;1;1
23;3;28.09.2018-10:29:00;0;1;2
23;1;30.10.2018-17:29:00;0;1;0
23;1;30.10.2018-17:32:00;0;1;0
23;2;31.10.2018-13:41:00;0;1;12
23;3;01.11.2018-16:27:00;0;1;2
23;2;05.11.2018-07:44:00;0;1;13
23;3;29.11.2018-16:16:00;0;1;2
23;1;30.11.2018-10:49:00;0;1;0
23;2;30.11.2018-13:45:00;0;1;13
23;4;17.01.2019-11:59:00;0;1;5
23;5;17.01.2019-11:59:00;0;1;5
24;0;12.01.2018-10:52:00;0;1;0
24;1;31.01.2018-11:11:00;0;1;0
24;2;01.02.2018-17:11:00;0;1;9
24;3;22.02.2018-16:18:00;0;1;2
24;1;20.03.2018-12:41:00;0;1;0
24;2;20.03.2018-13:52:00;0;1;6
24;3;29.03.2018-15:10:00;0;1;2
24;1;10.04.2018-15:39:00;0;1;0
24;2;10.04.2018-16:09:00;0;1;9
24;3;26.04.2018-11:15:00;0;1;2
24;10;24.05.2018-09:28:00;0;1;17
24;13;24.05.2018-11:28:00;0;1;17
24;11;24.05.2018-11:28:00;0;1;17
24;12;24.05.2018-11:28:00;0;1;17
24;14;24.05.2018-14:21:00;0;1;0
24;1;27.05.2018-21:26:00;0;1;0
24;2;28.05.2018-10:15:00;0;1;13
24;3;31.05.2018-12:33:00;0;1;2
24;1;26.06.2018-23:19:00;0;1;0
24;2;27.06.2018-13:22:00;0;1;12
24;3;28.06.2018-14:05:00;0;1;2
24;1;24.07.2018-16:02:00;0;1;0
24;2;24.07.2018-17:45:00;0;1;12
24;3;26.07.2018-18:09:00;0;1;2
24;1;27.07.2018-13:34:00;0;1;0
24;2;31.07.2018-08:23:00;0;1;1
24;3;30.08.2018-15:40:00;0;1;2
24;1;28.09.2018-08:42:00;0;1;0
24;2;01.10.2018-13:28:00;0;1;1
24;3;04.10.2018-16:50:00;0;1;2
24;1;30.10.2018-16:20:00;0;1;0
24;2;31.10.2018-13:38:00;0;1;12
24;3;01.11.2018-16:27:00;0;1;2
25;0;12.01.2018-10:52:00;0;1;0
25;1;19.02.2018-09:29:00;0;1;0
25;2;06.03.2018-10:37:00;0;1;1
25;3;15.03.2018-14:14:00;0;1;4
25;1;26.03.2018-09:54:00;0;1;0
25;3;29.03.2018-15:10:00;0;1;2
25;10;26.04.2018-07:19:00;0;1;10
25;12;26.04.2018-09:23:00;0;1;10
25;13;26.04.2018-09:23:00;0;1;10
25;11;26.04.2018-09:23:00;0;1;10
25;14;26.04.2018-13:05:00;0;1;0
25;1;30.04.2018-00:07:00;0;1;0
25;2;14.05.2018-16:36:00;0;1;9
25;3;17.05.2018-14:51:00;0;1;2
25;1;27.05.2018-23:42:00;0;1;0
25;2;31.05.2018-09:13:00;0;1;9
25;3;31.05.2018-12:33:00;0;1;2
25;1;28.06.2018-14:56:00;0;1;0
25;1;28.06.2018-14:58:00;0;1;0
25;1;28.06.2018-15:00:00;0;1;0
25;2;29.06.2018-07:18:00;0;1;1
25;2;29.06.2018-07:19:00;0;1;1
25;2;29.06.2018-07:19:00;0;1;1
